㐂;匕
㐆;丿勹ヨ
㐬;亠厶川
㐮;一丨丿二亠ハ衣
㑨;一丿⺅口大矢
㑪;丨丿⺅廾文斉
㒒;一丨丿⺅丷木王羊耒
㒵;ハ日白
㒼;一丨入冂凵
㓁;儿冖
㓇;丿冫大
㓛;刀工
㔟;丶力九生
㕝;十又口
㕞;丨冂又尸巾
㕣;ハ口
㕮;口父
㖦;一丨口日木田
㖨;口ヨ彑水
㗅;十口月
㗚;口木西
㗴;口日門
㘅;亅二口彳金
㙊;土長
㚑;大ヨ
㚖;大日白
㚙;力口大
㛏;一丶女水
㝡;又宀耳
㝢;丿冂厶宀禸虫
㝫;一夂宀⻖生
㝬;一丨二人口大宀
㝵;一寸日
㞍;丶九尸
㟁;一十厂山干
㟢;一亅口大山
㟨;山而
㟴;儿匕厶山田鬼
㟽;二小山示西
㠀;山⺣鳥
㠯;一丨口
㠶;丨冂几巾
㡀;丨ハ冂
㡜;丨丶二冂夕小巾示
㡡;丨丷冂厂口寸巾豆
㣺;心
㤗;一二人大心
㤚;亅二彳⺖
㥯;工ヨ心爪
㩮;一ハ⺘手臼
㩳;又⺘隹
㫖;一卜日
㫗;子日
㫪;一丨二人大日
㬎;幺日⺣
㬚;亠厶攵日月
㬜;一厶土日至
㬢;一亅二丷戈手日王羊
㭭;丿⺉口木
㭷;力木田
㮇;丿大心木
㮈;二大小木示
㮍;一丶丷冂⺉木
㮤;𠆢ハ口宀木穴谷
㮶;一丷屮月木
㯃;𠆢木水
㯍;丶夕寸木爿
㯰;一丨十木目⺲自
㰏;亠冂口木竹高
㰦;人勹厶土欠
㳃;十九⺡
㳒;厶大⺡
㴑;一丷屮广⺡
㴞;丨⺡日爪
㵤;人冫大⺡羽
㶚;十口廾⺡月西革
㷀;十火
㷔;丨日火爪
㸅;匕卩日火白竹
㸿;儿冖士牛
㹠;丿乙凵⺨屯
㹦;刀口⺨
㹨;丨⺨日田
㺃;勹口⺨⺾
㺔;丿勹⺨⺣爪
㽗;人田
㽲;一勹疒
㽵;土疒
㽷;水疒
㾮;日王疒白
㿉;一丨ハ口疒目貝
㿗;丿儿ハ木疒目禾貝頁
䀹;人大目
䁘;丶凵夕山目缶
䂓;一丿儿大目矢見
䄅;一二人丷大小示
䅈;一丿二人大木禾
䅏;丿尸木毛禾
䅣;丿日木王白禾
䆴;乙ハ勹宀田穴亀
䆿;ハ宀木爿目穴自
䇦;冂大竹
䇮;丿⺅士王竹
䇳;二戈竹
䈇;十卜日竹
䈎;一丨木世竹
䉤;女攵竹米
䋆;一小尸幺戸糸
䋖;丨二小幺ヨ糸聿
䋝;女小⺌幺糸
䌂;一厶土小尸幺糸至
䌫;一丿儿匚小幺目糸臣見
䍃;丶凵夕山缶
䏮;丶丿ハ力月
䏰;丶刀心月
䐈;一丨十月目
䐗;丶丿土⺹日月
䐜;一丨ハ匕月目
䐢;勹屮月
䑓;一丨冖厶土至
䑛;一口氏舌
䑶;一丨丶二亠冂土月舟青
䑺;一丨丶丿冂舟虫風
䒑;一丷
䒳;乃⺾木
䒾;亠⺾衣
䓔;丿土子⺾⺹
䔈;ハ工⺾目貝
䔍;⺾馬
䔥;丨丿ヨ⺾水米隶
䕃;𠆢⺾⻖長
䖝;丿虫
䖸;亅戈手虫
䗥;人彳止虫
䗪;一凵广⺣虫
䘏;⻏皿血
䙁;戈⻂
䙥;一丨𠆢⻂雨
䚡;丨勹心月田角
䚯;⺉言
䜌;小幺糸言
䝤;丷大小日豸
䟽;亠厶口川足
䠖;二人勹口欠足
䡄;几車
䡎;一尸戸車
䢵;二厶⻏
䦰;乙勹田門亀
䧧;亅丷⻖戈手王羊
䧺;一丿口隹
䨄;一𠆢酉隹
䨩;丨二小日田示雨
䪼;丨ハ凵山目貝頁
䬻;二戈食
䯂;木馬
䯊;一亅冂冖口月骨
䯒;亅二冂冖彳月骨
䯨;亠冂口木高
䰗;丨乙亅勹王田亀
䰠;丨儿匕厶日田鬼
䳄;匕止比⺣鳥
䳑;一丿月⺣鳥
䴇;一丨𠆢⺣雨鳥
䵷;土黽
一;一
丁;一亅
丂;一勹
七;乙匕丿
丄;一丨
丅;一丨
万;丨丿一
丈;丿一丶
三;一二
上;一卜
下;丨一卜
丌;一丨丿
不;丨丿一丶
与;勹一卜
丏;一勹
丐;一弓止疋
丑;丨丿一
丒;一丶丿勹
且;一目
丕;丨丿一丶
世;丨一世
丗;丨山十
丘;一斤
丙;一人冂
丞;丿一亅
丟;厶王
両;丨一冂山
丣;一丨丿口
两;一人冂
並;丨一二丷
丨;丨
丩;丨
个;丨𠆢
丫;丨丶丿丷
丬;丨冫
中;丨口
丮;丨二
丯;丨彡
丰;一丨二
丱;丨丿
串;丨口
丵;一丶丿丷十干
丶;丶
丸;九丶
丹;丿一丶亅
主;王丶
丼;丨丿二丶廾井
丿;丿
乀;丶
乁;一丶
乂;丿
乃;丨丿一乃
乄;丶丿
久;丿入久
乇;一丿乙
么;丿厶
之;乙丶亠廴
乍;丨丿一
乎;丿一丷亅
乏;丿乙丶亠
乑;丨丶丿
乕;丨丿一巾厂
乖;丿十匕爿
乗;丨丿一禾ハ
乘;丿十ハ匕爿
乙;乙
乚;乙
乜;乙匕
九;九
乞;丿一乙
也;丨乙匕也
乢;乙山
乣;乙幺
乨;乙厶口
乩;乙卜口
乱;乙口舌
乳;乙子爪
乴;一丿乙亅斤
乵;乙十立辛
乹;乙十日
乾;乙十日
乿;乙小幺爪糸
亀;亀田勹乙
亂;乙爪冂厶
亅;亅
了;一亅
予;マ一亅
争;ヨ一亅勹
亊;ヨ一丷亅
事;一口亅ヨ
二;二
亍;亅二
于;二亅
云;一二厶
互;ヨ一彑
五;一二五
井;丨丿一二井
亖;二
亗;二山
亘;一二日
亙;丿一二丶
些;止二匕
亜;丨一口
亝;二厶
亞;一二
亟;口二又
亠;亠
亡;亡亠
亢;亠几
交;父亠
亥;人亠
亦;丿ハ亅亠
亨;口亠
享;口子亠
京;口小亠
亭;口亅亠冖
亮;口亠儿冖
亯;一丶亠口日曰
亰;小日亠
亳;丿一乙口亠冖
亶;一口日亠囗
亹;一丨丿亠冂冖口ヨ目
人;人
亻;⺅
亼;一𠆢
什;⺅十
仁;⺅二
仂;⺅力
仃;一亅⺅
仄;人厂
仆;⺅卜
仇;⺅九
仈;⺅ハ
今;𠆢一
介;ハ𠆢
仍;丿⺅乃
从;人
仏;⺅厶
仐;𠆢十
仔;⺅子
仕;⺅士
他;⺅也
仗;丿⺅
付;⺅寸
仙;⺅山
仚;𠆢山
仛;一丿乙⺅
仞;⺅刀丶
仟;丿⺅十
仠;一⺅十干
仡;一丿乙⺅
仢;丶⺅勹
代;⺅弋
令;𠆢卩一
以;丨人丶
仨;一二⺅
仫;丿⺅厶
仭;⺅刀丶
仮;⺅又厂
仯;丿⺅小
仰;⺅卩
仱;一丶⺅𠆢
仲;丨⺅口
仳;⺅匕比
仵;一丿⺅十干
件;⺅牛
价;儿⺅𠆢
任;丿王⺅士
份;⺅ハ刀
仾;一⺅ヨ彑
仿;一丶丿⺅方
伀;⺅ハ厶
企;止𠆢
伂;一丨⺅冂巾
伃;一亅⺅マ
伈;⺅心
伉;⺅亠几
伊;丨ヨ⺅
伋;丶⺅又乃及
伌;⺅卩厂
伍;一⺅
伎;⺅支又十
伏;⺅犬
伐;⺅戈
休;⺅木
伒;⺅斤
伕;一二人⺅大
伖;一丿⺅又
众;人𠆢
伙;⺅火
会;二𠆢厶
伜;九⺅十
伝;⺅二厶
伮;⺅又女
伯;⺅白
估;⺅口十
伱;⺅𠆢小
伳;一丨⺅十世
伴;丨⺅二丷十
伵;⺅ハ口
伶;𠆢卩一⺅
伷;丨⺅日田
伸;丨⺅日田
伹;一⺅目
伺;⺅口亅一
伻;一⺅ハ十干
似;⺅人丶
伽;⺅口力
伾;一丨丶丿⺅
佀;丨⺅口
佂;一⺅止
佃;⺅田
但;一⺅日
佇;⺅亅宀
佈;一丨丿⺅冂巾
佉;⺅厶土
佋;⺅刀口
佌;⺅匕止
位;⺅立
低;⺅氏
住;王⺅丶
佐;丿一⺅工
佑;丿一⺅口
佒;⺅大
体;木一⺅
佔;⺅卜口
何;⺅口亅
佖;丿⺅心
佗;⺅匕宀
佘;二𠆢小示
余;一二ハ𠆢亅示二小
佚;丿⺅人大二
佛;丨丿⺅弓
作;丨丿⺅
佝;⺅口勹
佞;⺅女二
佟;丶⺅夂
你;一丿⺅小
佣;一丨⺅用
佤;一丶乙⺅
佩;⺅巾几
佪;⺅口囗
佬;丿⺅匕土⺹
佮;一⺅𠆢口
佯;王⺅丷羊
佰;⺅白一
佱;一𠆢止
佳;⺅土
併;丨丿一⺅二丷廾
佶;⺅口士
佷;⺅艮
佸;⺅口舌
佹;⺅勹卩厂
佺;⺅𠆢王
佻;⺅儿冫
佼;⺅父亠
佽;一人⺅勹欠
佾;⺅ハ月
使;丿一⺅口
侁;一丿⺅儿十土
侂;丿⺅匕广
侃;⺅口川
侄;一⺅厶土
侅;丿亠人⺅幺玄
來;丨一十人ハ木
侈;⺅夕
侉;一二⺅勹大
侊;一⺅儿⺌
例;⺅⺉歹
侌;一丶𠆢厶ユ
侍;⺅寸土
侎;⺅米
侏;丿⺅牛ハ木
侐;⺅皿血
侑;丿一⺅月
侒;⺅女宀
侓;丨二⺅ヨ聿
侔;⺅厶牛
侖;𠆢冂廾冊
侗;一⺅冂口
侘;丿乙⺅宀
侙;⺅工弋
侚;⺅勹日
供;丨一⺅二ハ
依;衣⺅亠
侞;⺅口女
侟;一丨丿⺅子
侠;⺅人大二丷亠
価;⺅西
侫;亡⺅女
侭;⺅尸
侮;⺅母毋
侯;⺅矢
侲;⺅厂衣辰
侵;ヨ⺅又冖
侶;丨一⺅口
侷;⺅勹口尸
侹;⺅廴王
侻;⺅儿丷口
侼;一⺅冖十子
侽;⺅力田
侾;丿⺅土子⺹
便;丨丿一⺅日田
俀;⺅女爪
俁;一丶丿⺅口大
係;丿⺅糸幺小
促;⺅口足
俄;⺅亅戈手
俅;一丶⺅水
俆;亅二⺅𠆢ハ小示
俈;丿⺅口土
俉;一二⺅口五
俊;⺅儿厶夂
俋;乙⺅口已⻏巴
俌;一丨丶二⺅十用
俍;丶⺅艮
俎;人目
俏;⺅小⺌月
俐;⺅禾⺉
俑;⺅用マ
俒;一⺅儿宀
俔;⺅見
俗;⺅口谷ハ𠆢
俘;⺅子爪
俚;⺅里
俛;⺅免儿
俜;一丨⺅勹十口田
保;⺅口木
俟;⺅矢厶
俠;人⺅大
信;⺅言
俢;⺅夂彡
俣;⺅口大二
俤;丨丿⺅弓丷
俥;⺅車
俦;一丿二⺅寸
修;丨⺅彡攵
俯;⺅寸广
俰;丿⺅口木禾
俱;一⺅ハ目
俲;亠⺅力父
俳;⺅非
俵;衣⺅士
俶;⺅小卜又
俸;丨一⺅人大二
俺;乙⺅大奄
俼;亠⺅厶月
俽;人⺅勹斤欠
俾;⺅十田
俿;⺅儿几匕卜厂虍
倀;⺅長
倁;一丿⺅口大矢
倂;一⺅十干
倄;一丶丿⺅月
倅;⺅十人亠
倆;丨⺅人冂
倇;⺅卩夕宀
倉;丿口𠆢
倊;⺅ハ厶心
個;⺅口十囗
倌;丨⺅口宀
倍;⺅口立
倎;一丨⺅ハ冂日冊
倏;⺅犬夂攵
倐;丨⺅夂火
們;⺅門
倒;⺅⺉至土厶
倓;⺅火
倔;丨⺅山尸
倖;⺅十辛立亠
倗;⺅月
倘;⺅冂口小⺌
候;丨⺅矢
倚;⺅口大亅一
倛;一丨⺅ハ甘目
倜;丨二⺅冂口土
倝;人十日曰
倞;亠⺅口小
借;⺅日
倡;⺅日
倢;一丨⺅土ヨ疋走
倣;⺅方攵
値;⺅十目丨一
倥;⺅穴工儿宀
倦;⺅已大
倧;二⺅宀小示
倨;⺅口十尸
倩;⺅月青土二亠
倪;臼⺅儿
倫;丨一⺅𠆢亅冊
倬;⺅十日卜曰
倭;⺅禾女
倮;⺅木田
倰;⺅ハ土夂
倲;一⺅口日木
倳;一亅⺅口ヨ
倵;一丶⺅弋止
倶;⺅ハ目一
倹;⺅口人𠆢
倻;⺅⻏耳
偀;⺅大⺾
偁;一丨二⺅冂月爪
偂;一丶⺅丷冂⺉月
偃;⺅女日匚
偅;一丿⺅車
偆;一二⺅大日
假;丨⺅又
偈;⺅日勹匕
偉;⺅口韋
偊;丿⺅冂厶口禸虫
偌;一丿⺅口⺾
偎;⺅田衣
偏;丨一⺅戸冂冊尸
偐;⺅丷立亠厂彡
偑;丿⺅冂虫風
偒;一丿⺅勹日曰勿
偓;一⺅厶土尸至
偕;⺅白比
偖;⺅日⺹
偗;丿⺅小目
偙;一丨丶⺅丷冂冖巾立
做;⺅口十攵
停;⺅口亅亠冖
偟;⺅日王白
偠;⺅女西
偢;丿⺅木火禾
偣;⺅日立音
健;⺅廴聿
偦;⺅月疋
偧;⺅夕大
偪;一⺅口田
偬;丶⺅心勿
偭;⺅面
偰;一丨二⺅刀大彡
偱;一⺅十厂斤目自
偲;⺅心田
側;⺅貝目ハ⺉
偵;⺅貝目ハ卜
偶;⺅田冂厶禸
偸;⺅⺉月𠆢
偽;⺅丶⺣
傀;⺅鬼田儿匕厶
傁;丨丿⺅十又ヨ支臼
傃;一二⺅土小幺糸
傄;丶丿⺅大目
傅;⺅寸田丶
傆;⺅厂小日白
傈;⺅木西
傊;⺅ハ口目貝
傍;⺅丷方立亠冖
傎;⺅ハ匕十目
傏;丨⺅口广ヨ
傐;亠⺅冂口高
傑;⺅舛木夕
傒;⺅大幺爪
傓;一丿⺅冫厂尸戸羽
傔;一丿⺅ヨ木禾
傕;⺅冖隹
傖;一丶⺅𠆢口尸戸日
傘;十人𠆢
備;⺅用厂⺾
傚;⺅父亠攵
傛;⺅𠆢ハ口宀谷
傜;丶⺅凵夕山爪缶
傞;一丿二⺅丷工王羊
傟;⺅ハ冫厶羽
傠;⺅寸言
傡;⺅立
傢;⺅宀豕
傣;一丶亅二人⺅冫大水
傪;⺅𠆢厶彡
催;⺅山隹
傭;ヨ⺅用广
傯;丶丿⺅勹口囗夂心
傰;⺅山月
傱;人彳止
傲;⺅土方攵
傳;⺅寸田厶
傴;⺅口匚品
債;⺅貝目ハ土亠
傷;丿⺅日勿
傹;⺅儿日曰立音
傺;丶二⺅𠆢夕小示
傻;丶丿⺅儿囗夂
傽;⺅十日曰立音
傾;⺅貝目ハ頁匕
僀;一丨乙⺅冂冖十巾廾
僂;⺅十女
僃;⺅勹⺾用
僄;二⺅小示西
僅;⺅土⺾口
僇;⺅𠆢冫彡羽
僉;口人𠆢
僊;⺅西大已
僌;⺅攵車
働;丨一⺅力日
僎;丨二⺅ハ已
像;⺅勹豕口一
僐;一丨⺅丷口王羊
僑;丿⺅口冂大
僓;一丨⺅ハ口土目虫貝
僔;一⺅儿ハ丷寸酉
僕;王⺅丷羊
僖;⺅口士十豆丷
僘;⺅冂口小⺌攵
僙;一丨⺅ハ凵日田黄
僚;⺅小日
僜;一⺅丷口癶豆
僝;⺅子尸
僞;⺅爪⺣
僟;人⺅幺戈
僡;一⺅心虫
僢;丨⺅冖夕爪舛
僣;⺅人土日
僤;⺅十口日田
僥;⺅土儿
僦;丶亠⺅口小尢尤
僧;⺅田日丷
僨;⺅ハ十⺾目貝
僩;⺅月門
僭;⺅日亠无
僮;⺅里立
僯;⺅夕米舛
僱;一丶⺅尸戸隹
僲;⺅夕西舛
僳;⺅米西
僵;一⺅田二
僶;⺅黽
價;⺅貝目ハ西
僺;⺅口木
僻;⺅口十辛立尸
僾;⺅冖夂心爪
儀;一王⺅丷羊亅戈手
儁;⺅隹
儂;丨⺅辰
儃;一亠⺅口囗日
億;音⺅心日立
儆;⺅勹口⺾攵
儇;一丶丿⺅口⺲衣
儈;一丶丿⺅𠆢丷口日
儉;⺅口人𠆢
儋;⺅儿ハ冖勹厂言
儌;⺅攵方日白
儍;丶丿⺅儿ハ凵夂
儎;⺅十土戈車
儐;一丨丿ハ宀目貝
儒;雨⺅而
儔;⺅口工士寸
儕;⺅刀亠齊氏廾
儖;⺅皿臣二
儗;一丿⺅匕マ大疋矢
儘;ヨ⺅皿⺣
儙;一丨⺅⻌口虫
儚;⺅⺲夕冖⺾
儛;一丨丿⺅夕舛無
儜;一亅⺅宀心⺲
儝;⺅冖木火
儞;一丨丶丿⺅ハ冂
償;⺅貝目ハ口⺌冖
儡;⺅田
儣;丨二⺅ハ广日田黄
儧;一⺅ハ大目貝
儨;⺅ハ斤目貝
優;一⺅心白冖夂自
儬;二亠⺅ハ土月目貝青
儭;一⺅儿小目立見
儯;一⺅丷大馬
儱;一乙⺅月立
儲;⺅言日⺹
儳;一丨丶丿乙⺅儿冖勹匕口比免
儴;一丨丶二亠⺅口衣
儵;丨⺅丷夂攵⺣里黒
儷;⺅鹿比冂广
儸;⺅小幺⺲糸隹
儹;丿⺅儿ハ土目貝
儺;⺅⺾隹
儻;⺅口黒⺌里冖⺣
儼;⺅口耳厂攵
儿;儿
兀;一儿
允;厶儿
兂;一丿乙二尢
元;二儿元
兄;口儿
充;亠儿厶
兆;儿冫
兇;儿凵丶丿
先;丿土儿
光;一⺌儿
兊;儿ハ厶
克;口十儿
兌;口丷儿
免;丨一勹口儿免
兎;丿丶儿口丨
兏;一儿卜厂
児;丨日儿
兒;臼儿
兓;一尢
兔;免丶儿
兕;一丨儿
兗;亠儿ハ口
兘;二儿厶口元
党;口⺌儿冖
兜;白儿
兟;丿儿土
兠;丨儿冫匕日白
兢;口十儿
兤;一丨二亠儿ハ⺌广日田黄
入;入
兦;乙人
全;王ハ𠆢
兩;丨一入冂
兪;月入𠆢
八;ハ
公;ハ厶
六;ハ亠
兮;弓ハ
共;ハ丨一二
关;一二人丷大
兵;一斤ハ
其;一甘ハ
具;一ハ目
典;丨一日ハ
养;丨丿ハ丷王羊
兼;丨ヨ一ハ丷
兾;丨二ハ丷田
冀;田二ハ匕爿
冂;冂
冃;二冂
冄;二冂
内;人冂
円;冂亠一丨
冉;丨一冂
冊;丨一亅冂廾冊
冋;冂口
册;一冂
再;丨一冂王
冎;冂口囗
冏;口儿冂
冐;月二冂
冑;月田二冂
冒;日目
冓;丨一冂
冕;月免二儿冂
冖;冖
冗;冖几
冘;丿乙冖尢
写;一冖勹
冝;一冖目
冠;寸儿冖
冡;一冖豕
冢;冖豕
冣;冖又耳
冤;免丶冖儿
冥;日ハ亠冖
冦;二卜又儿冖
冨;口田冖
冩;臼冖勹⺣
冪;巾大日冖⺾
冫;冫
冬;夂丶攵
冭;一丶丿大
冰;水冫
冱;一二冫
冲;丨口冫
决;丿人冫ユ大
冴;牙冫
况;口儿冫
冶;口冫厶
冷;𠆢冫卩一
冸;丨二ハ丷冫小
冺;一冫尸氏
冼;丿儿冫土
冽;⺉冫歹
冾;一𠆢冫口
冿;丨二冫ヨ聿
凂;一丨丿乙儿冫勹口免
凃;二𠆢冫小示
凄;女冫ヨ十
凅;口十冫囗
准;冫隹
凈;亅冫ヨ爪
凉;口小亠冫
凊;一丨二亠冂冫土月青
凋;口土冂冫
凌;土儿冫夂
凍;丨一日木冫田
减;一丿冫厂口戈
凑;一丶丿二冫大
凒;丷冫口山豆
凓;冫木西
凕;亠ハ冖冫日曰
凖;十冫隹
凘;一ハ冫斤甘
凛;口示二小亠冫囗
凜;冫亠禾口
凝;矢冫匕マ疋
凞;丿冫匚已⺣臣
几;几
凡;丶几
凢;丿乙几广
凥;几尸
処;几夂攵
凧;丨巾冂几
凩;木几
凪;止几
凭;丿⺅士几
凮;一丿几日白
凰;王白几
凱;口山豆丷几
凲;丨ハ丷几ヨ
凳;一𠆢丷几口癶豆
凴;冫几馬
凵;凵
凶;凵丶丿
凷;凵土
凸;丨一冂凵
凹;凵
出;丨山
函;一水凵
凾;口又凵
刀;刀
刁;一亅
刂;⺉
刃;刀丶
刄;刀
刅;丶丿ハ刀
分;刀ハ
切;刀匕
刈;⺉
刊;⺉干
刋;丿⺉十
刎;⺉勿勹
刑;⺉廾丿
划;⺉戈
刓;二儿⺉元
刔;⺉人ユ大
刕;刀
刖;⺉月
列;⺉歹
刘;⺉文
初;⻂刀
刢;丶𠆢⺉マ
判;丨⺉二丷十
別;⺉口力
刧;土刀厶
刨;⺉勹已
利;禾⺉
刪;⺉冊冂
刮;⺉口舌
到;⺉至土厶
刱;一丨丶丿二ハ刀井
刲;⺉土
刳;⺉大二勹
刵;⺉耳
制;丿⺉牛巾二
刷;⺉巾尸
券;一人大刀二丷
刹;⺉木
刺;丨⺉巾ハ木亅冂
刻;⺉亠
刼;一丶丿𠆢刀厶
剃;丨丿⺉弓丷
剄;⺉工巛
剅;一丷⺉口豆
則;貝目ハ⺉
剉;人⺉土
削;⺉月⺌
剋;⺉口十儿
剌;丨⺉口ハ木
前;一⺉月丷
剏;丨丿刀二丷廾
剔;⺉日勿
剕;⺉非
剖;⺉口立
剗;⺉戈
剘;一丨二ハ⺉甘
剚;一亅⺉口
剛;⺉丷冂岡山
剜;⺉卩夕宀
剝;亅冫⺉ヨ彑水
剞;⺉口大亅一
剟;⺉又
剠;亠⺉口小
剡;⺉火
剣;⺉口人𠆢
剤;丨丿⺉文廾斉
剥;ヨ⺉水
剦;乙⺉大日奄
剩;丨⺉匕爿
剪;一⺉月丷刀
剬;⺉山而
剮;冂⺉口囗
副;一⺉口田
剰;丨丿一⺉
剱;口人刀𠆢丶
割;⺉口土宀亠
剳;⺉口𠆢⺾
剴;⺉口山豆丷
創;⺉口𠆢
剷;一丶丿亠⺉厂土牛立
剸;一⺉厶寸日虫
剹;𠆢冫⺉彡羽
剽;⺉示二小西
剿;⺉⺌田木
劀;ハ冂⺉マ口矛
劂;一人丷⺉勹厂屮欠
劃;一⺉田聿
劄;一𠆢⺉口竹
劅;⺉勹⺲虫
劇;⺉卜匕厂虍豕
劈;口十辛刀立尸
劉;⺉金厶
劊;一丨丶丿𠆢丷⺉口日
劌;一丿亅⺉厂戈止
劍;⺉口人𠆢
劑;⺉亠齊刀氏廾
劒;口人𠆢丶刀
劓;一丨丿⺉廾田目自鼻
劔;口人刀𠆢丶
劕;ハ⺉斤目貝
劖;一丨丿乙儿⺉勹匕口比免
劗;丿儿ハ⺉土目貝
劘;一丨丿儿⺉十广木非
劚;丨丶丿⺉勹尸水⺲虫
力;力
劜;乙力
功;工力
加;口力
