# source; base term; pitch accent
nhk;嗚呼;ꜛあꜜあ
nhk;ああ;あꜛあ
nhk;アーク灯;あꜛあく*とう
nhk;アーケード;ꜛあꜜあけえど
nhk;アーケード;あꜛあけꜜえど
nhk;アース;ꜛあꜜあす
nhk;アーチ;ꜛあꜜあち
nhk;アーチェリー;ꜛあꜜあちぇりい
nhk;アーチスト;ꜛあꜜあち*すと
nhk;アート;ꜛあꜜあと
nhk;アーバンライフ;あꜛあばんらꜜいふ
nhk;アーム;ꜛあꜜあむ
nhk;アーム;あꜛあむ
nhk;アーメン;あꜛあめん
nhk;アーメン;ꜛあꜜあめん
nhk;アーモンド;ꜛあꜜあもんど
nhk;アーモンド;あꜛあもꜜんど
nhk;アール;ꜛあꜜある
nhk;アールヌーボー;あꜛあるぬꜜうぼう
nhk;愛;ꜛあꜜい
nhk;相;ꜛあꜜい
nhk;間;ꜛあꜜい
nhk;藍;ꜛあꜜい
nhk;合い;ꜛあꜜい
nhk;相合い傘;あꜛいあいが~ꜜさ
nhk;アイアン;あꜛいあん
nhk;アイアン;ꜛあꜜいあん
nhk;愛育;あꜛいいく
nhk;相いれない;ꜛあꜜいいれない
nhk;相容れない;ꜛあꜜいいれない
nhk;あい色;あꜛいいろ
nhk;藍色;あꜛいいろ
nhk;合い印;あꜛいいん
nhk;愛飲;あꜛいいん
nhk;相打ち;あꜛいうち
nhk;愛煙家;あꜛいえんか
nhk;合い縁奇縁;あꜛいえんきꜜえん
nhk;相生い;あꜛいおい
nhk;哀歌;ꜛあꜜいか
nhk;合いかぎ;あꜛいかぎ~
nhk;合い鍵;あꜛいかぎ~
nhk;合いかぎ;あꜛいꜜかぎ~
nhk;合い鍵;あꜛいꜜかぎ~
nhk;相方;あꜛいかた
nhk;合方;あꜛいかた
nhk;相方;あꜛいかたꜜ
nhk;合方;あꜛいかたꜜ
nhk;合鴨;あꜛいが~も
nhk;間鴨;あꜛいが~も
nhk;相変わらず;あꜛいかわらず
nhk;哀感;あꜛいかん
nhk;哀歓;あꜛいかん
nhk;哀願;あꜛいが~ん
nhk;愛がん;あꜛいが~ん
nhk;愛玩;あꜛいが~ん
nhk;合着;あꜛいぎ~ꜜ
nhk;合着;あꜛいぎ~
nhk;合気道;あꜛいきꜜどう
nhk;相客;あꜛいきゃく
nhk;愛きょう;あꜛいきょꜜう
nhk;愛敬;あꜛいきょꜜう
nhk;愛嬌;あꜛいきょꜜう
nhk;間狂言;あꜛいきょꜜうげ~ん
nhk;愛郷心;あꜛいきょꜜうしん
nhk;愛きょう者;あꜛいきょうもの
nhk;愛敬者;あꜛいきょうもの
nhk;愛嬌者;あꜛいきょうもの
nhk;愛きょう者;あꜛいきょうものꜜ
nhk;愛敬者;あꜛいきょうものꜜ
nhk;愛嬌者;あꜛいきょうものꜜ
nhk;愛吟;あꜛいぎ~ん
nhk;合い口;あꜛいく*ち
nhk;匕首;あꜛいく*ち
nhk;匕首;ꜛあꜜいく*ち
nhk;匕首;あꜛいꜜく*ち
nhk;愛くるしい;あꜛいくるしꜜい
nhk;愛犬;あꜛいけん
nhk;愛顧;ꜛあꜜいこ
nhk;あいこ;あꜛいこꜜ
nhk;あいこ;あꜛいこ
